学校ID,登録番号,書名,書名ヨミ,書名巻次,版次,叢書名,叢書名ヨミ,叢書名巻次,タイトル関連情報,タイトル関連情報ヨミ,各巻書名,各巻書名ヨミ,各巻書名巻次,著者,著者ヨミ,各巻著者,各巻著者ヨミ,出版地,出版者,出版年,ページ数,サイズ,一般注記,ISBN,ISBN13,TRCナンバー,件名,件名ヨミ,内容,自校分類,NDC,TRC,書誌ID,請求記号,受入年月日
160,160-0-41472,図解身近にあふれる「微生物」が３時間でわかる本,ズカイ／ミジカニ／アフレル／ビセイブツ／ガ／サンジカン／デ／ワカル／ホン,,,,,,,,,,,左巻／健男∥編著,サマキ，タケオ,,,東京,明日香出版社,２０１９．１,２２２ｐ,１９ｃｍ,,4-7569-2011-9,978-4-7569-2011-9,,,,,465,,0,160-687194786579,"465-サ ",2019-07-03
160,160-0-41473,毒物ずかん,ドクブツ／ズカン,,,,,,キュートであぶない毒キャラの世界へ,キュート／デ／アブナイ／ドク／キャラ／ノ／セカイ／エ,,,,"くられ∥文・監修  姫川／たけお∥絵・まんが","クラレ  ヒメカワ，タケオ",,,京都,化学同人,２０１８．６,１５９ｐ,２１ｃｍ,,4-7598-1962-5,978-4-7598-1962-5,,,,,430,,0,160-687194786576,"430-ク ",2019-07-03
160,160-0-41474,恥知らずのパープルヘイズ,ハジシラズ／ノ／パープルヘイズ,,,ＪＵＭＰ　ｊ　ＢＯＯＫＳ,ジャンプ／ジェイ／ブックス,,ジョジョの奇妙な冒険より,ジョジョ／ノ／キミョウナ／ボウケン／ヨリ,,,,"上遠野／浩平∥著  荒木／飛呂彦∥原作","カドノ，コウヘイ  アラキ，ヒロヒコ",,,東京,集英社,２０１４．３,３２４ｐ,１８ｃｍ,,4-08-703310-6,978-4-08-703310-6,,,,,913.6,,0,160-687194786565,"913.6-カ ",2019-07-03
160,160-0-41475,８６,エイティシックス,Ｅｐ．５,,電撃文庫,デンゲキ／ブンコ,,,,死よ、驕るなかれ,シ／ヨ／オゴル／ナカレ,,安里／アサト∥著,アサト，アサト,,,東京,ＫＡＤＯＫＡＷＡ,２０１８．１０,３７６ｐ,１５ｃｍ,,4-04-912092-9,978-4-04-912092-9,,,,,913.6,,0,160-687194786562,913.6-ア-5,2019-07-03
160,160-0-41476,８６,エイティシックス,Ｅｐ．６,,電撃文庫,デンゲキ／ブンコ,,,,明けねばこそ夜は永く,アケネバコソ／ヨル／ワ／ナガク,,安里／アサト∥著,アサト，アサト,,,東京,ＫＡＤＯＫＡＷＡ,２０１９．４,３７９ｐ,１５ｃｍ,,4-04-912461-3,978-4-04-912461-3,,,,,913.6,,0,160-687194786563,913.6-ア-6,2019-07-03
160,160-0-41477,ａ．ｋ．ｂ．のいちばんわかりやすいＵＶレジン教室,エイケイビー／ノ／イチバン／ワカリヤスイ／ユーブイ／レジン／キョウシツ,,,,,,,,,,,ａ．ｋ．ｂ．∥著,エイケイビー,,,東京,河出書房新社,２０１７．４,９５ｐ,２６ｃｍ,,4-309-28630-3,978-4-309-28630-3,,,,,594,,0,160-687194786577,"594-エ ",2019-07-03
160,160-0-41478,てのひら迷路,テノヒラ／メイロ,,,講談社文庫,コウダンシャ／ブンコ,,,,,,,石田／衣良∥著,イシダ，イラ,,,東京,講談社,２００７．１２,３０５ｐ,１５ｃｍ,,4-06-275908-3,978-4-06-275908-3,,,,,913.6,,0,160-687194786564,"913.6-イ ",2019-07-03
160,160-0-41479,ロード・エルメロイⅡ世の事件簿,ロード／エルメロイ／ニセイ／ノ／ジケンボ,２,,角川文庫,カドカワ／ブンコ,,,,ｃａｓｅ．双貌塔イゼルマ,ケース／ソウボウトウ／イゼルマ,上,"三田／誠∥著  坂本／みねぢ∥イラスト  ＴＹＰＥーＭＯＯＮ∥原作","サンダ，マコト  サカモト，ミネヂ  タイプ／ムーン",,,東京,ＫＡＤＯＫＡＷＡ,２０１９．５,２７３ｐ,１５ｃｍ,,4-04-108075-7,978-4-04-108075-7,,,,,913.6,,0,160-687194786557,913.6-サ-2,2019-07-03
160,160-0-41480,ロード・エルメロイⅡ世の事件簿,ロード／エルメロイ／ニセイ／ノ／ジケンボ,３,,角川文庫,カドカワ／ブンコ,,,,ｃａｓｅ．双貌塔イゼルマ,ケース／ソウボウトウ／イゼルマ,下,"三田／誠∥著  坂本／みねぢ∥イラスト  ＴＹＰＥーＭＯＯＮ∥原作","サンダ，マコト  サカモト，ミネヂ  タイプ／ムーン",,,東京,ＫＡＤＯＫＡＷＡ,２０１９．６,２８９ｐ,１５ｃｍ,,4-04-108076-4,978-4-04-108076-4,,,,,913.6,,0,160-687194786558,913.6-サ-3,2019-07-03
160,160-0-41481,つい誰かに話したくなる日本の教養・雑学大全,ツイ／ダレカ／ニ／ハナシタクナル／ニホン／ノ／キョウヨウ／ザツガク／タイゼン,,,知的生きかた文庫,チテキ／イキカタ／ブンコ,,,,,,,幸運社∥編,コウウンシャ,,,東京,三笠書房,２０１９．４,２５３ｐ,１５ｃｍ,,4-8379-8585-3,978-4-8379-8585-3,,,,,049,,0,160-687194786559,"049-コ ",2019-07-03
